#measurement startet at: 06_09_19__15:42 Integration Time in ps: 900000000000000 Coincidence Window im ps: 4000
	H1H2H3H4         	H1H2H3V4         	H1H2V3H4         	H1H2V3V4         	H1V2H3H4         	H1V2H3V4         	H1V2V3H4         	H1V2V3V4         	V1H2H3H4         	V1H2H3V4         	V1H2V3H4         	V1H2V3V4         	V1V2H3H4         	V1V2H3V4         	V1V2V3H4         	V1V2V3V4         	H1               	V1               	H2               	V2               	H3               	V3               	H4               	V4               	H1H2             	H1V2             	V1H2             	V1V2             	H1H3             	H1V3             	V1H3             	V1V3             	H1H4             	H1V4             	V1H4             	V1V4             	H2H3             	H2V3             	V2H3             	V2V3             	H2H4             	H2V4             	V2H4             	V2V4             	H3H4             	H3V4             	V3H4             	V3V4             	H1V1H2V2H3V3     	H1V1H2V2H3H4     	H1V1H2V2H3V4     	H1V1H2V2V3H4     	H1V1H2V2V3V4     	H1V1H2V2H4V4     	H1V1H2H3V3H4     	H1V1H2H3V3V4     	H1V1H2H3H4V4     	H1V1H2V3H4V4     	H1V1V2H3V3H4     	H1V1V2H3V3V4     	H1V1V2H3H4V4     	H1V1V2V3H4V4     	H1V1H3V3H4V4     	H1H2V2H3V3H4     	H1H2V2H3V3V4     	H1H2V2H3H4V4     	H1H2V2V3H4V4     	H1H2H3V3H4V4     	H1V2H3V3H4V4     	V1H2V2H3V3H4     	V1H2V2H3V3V4     	V1H2V2H3H4V4     	V1H2V2V3H4V4     	V1H2H3V3H4V4     	V1V2H3V3H4V4     	H2V2H3V3H4V4     	
zzzz	2.0		        	25.0	         	21.0	         	20.0	         	24.0	          	8.0		          	814.0	         	16.0	         	31.0	        	1052.0	        	35.0	        	23.0	          	24.0	         	14.0	          	44.0	          	0.0          	149616435.0      	132788427.0      	138487656.0      	102631338.0      	115929223.0      	126922150.0      	153453996.0      	87171121.0       	362205.0         	202803.0         	9103970.0        	193113.0         	235639.0         	8160579.0        	227303.0         	361197.0         	303786.0         	172766.0         	271900.0         	155111.0         	214020.0         	232497.0         	158993.0         	173451.0         	290098.0         	181009.0         	8916745.0        	210862.0         	300552.0         	5239947.0        	260986.0         	158565.0         	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	
zzzx	18.0	        	10.0	         	26.0	         	17.0	         	15.0	          	21.0	          	358.0	         	418.0	         	430.0	        	352.0	        	20.0	        	20.0	          	12.0	         	18.0	          	16.0	          	16.0          	149125097.0      	131567955.0      	138273628.0      	101798785.0      	115557994.0      	126202723.0      	135139712.0      	100692082.0      	361462.0         	200317.0         	9030809.0        	190912.0         	234297.0         	8099101.0        	224858.0         	357067.0         	265078.0         	198358.0         	237514.0         	178064.0         	212503.0         	231218.0         	157568.0         	170955.0         	256759.0         	205991.0         	3823066.0        	3902786.0        	4195453.0        	2460882.0        	235173.0         	175537.0         	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	
zzxz	14.0	        	14.0	         	11.0	         	18.0	         	385.0	          	13.0	          	396.0	         	17.0	         	28.0	        	440.0	        	28.0	        	371.0	          	23.0	         	8.0		          	29.0	          	8.0          	146755713.0      	129931059.0      	138785057.0      	100030957.0      	122097534.0      	114442900.0      	150831423.0      	83827328.0       	360925.0         	194420.0         	9093512.0        	186984.0         	4225625.0        	3951367.0        	255275.0         	311805.0         	291672.0         	163336.0         	260541.0         	145992.0         	225990.0         	210092.0         	163260.0         	152235.0         	287696.0         	175094.0         	8598503.0        	202336.0         	275430.0         	2520025.0        	258790.0         	2628443.0        	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	
zzxx	20.0	        	13.0	         	19.0	         	12.0	         	240.0	          	169.0	          	156.0	         	274.0	         	223.0	        	232.0	        	195.0	        	222.0	          	12.0	         	13.0	          	13.0	          	22.0          	147771099.0      	131344258.0      	138756571.0      	100699495.0      	122293399.0      	114609980.0      	132337002.0      	99297094.0       	362623.0         	196440.0         	9186741.0        	190577.0         	4271689.0        	3992323.0        	257725.0         	315454.0         	257129.0         	195005.0         	231883.0         	174469.0         	226360.0         	210365.0         	164204.0         	154455.0         	253161.0         	204735.0         	3711947.0        	3816505.0        	2083174.0        	1244350.0        	2146805.0        	1283118.0        	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	
zzzy	14.0	        	13.0	         	19.0	         	22.0	         	15.0	          	9.0		          	430.0	         	283.0	         	320.0	        	474.0	        	30.0	        	11.0	          	13.0	         	14.0	          	22.0	          	6.0          	149173413.0      	132282401.0      	138447428.0      	101967726.0      	115225890.0      	126381159.0      	126630291.0      	78494391.0       	364015.0         	200585.0         	9166570.0        	192781.0         	234037.0         	8170601.0        	226135.0         	358738.0         	248968.0         	155165.0         	222949.0         	139259.0         	211431.0         	232278.0         	156800.0         	171909.0         	236045.0         	164612.0         	4429225.0        	2542163.0        	3038916.0        	2483196.0        	219827.0         	138024.0         	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	
zzyz	12.0	        	16.0	         	12.0	         	16.0	         	408.0	          	13.0	          	400.0	         	10.0	         	27.0	        	473.0	        	33.0	        	468.0	          	30.0	         	6.0		          	27.0	          	7.0          	148907455.0      	131875823.0      	137711511.0      	101913920.0      	123707237.0      	119017725.0      	152430045.0      	87100207.0       	360145.0         	200068.0         	9041757.0        	190564.0         	4078959.0        	4264955.0        	259013.0         	326263.0         	298972.0         	172545.0         	268520.0         	154097.0         	226716.0         	217763.0         	168271.0         	162051.0         	285410.0         	180173.0         	8859056.0        	211323.0         	284704.0         	2741858.0        	274272.0         	2671849.0        	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	
zzyy	16.0	        	10.0	         	17.0	         	12.0	         	195.0	          	109.0	          	216.0	         	151.0	         	177.0	        	224.0	        	166.0	        	218.0	          	18.0	         	12.0	          	19.0	          	13.0          	147224686.0      	130261846.0      	137597318.0      	100343780.0      	122698794.0      	118215755.0      	125114555.0      	78019147.0       	355739.0         	194972.0         	9008533.0        	188026.0         	4050676.0        	4255824.0        	254559.0         	324089.0         	242979.0         	151876.0         	216573.0         	136279.0         	224000.0         	215211.0         	164596.0         	158097.0         	232138.0         	162973.0         	4315720.0        	2530140.0        	1627017.0        	1315152.0        	1576705.0        	1276932.0        	0.0              	0.0              	0.0              	1.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	
zzxy	13.0	        	9.0		         	15.0	         	13.0	         	200.0	          	126.0	          	186.0	         	119.0	         	160.0	        	154.0	        	157.0	        	219.0	          	8.0		         	8.0		          	14.0	          	13.0          	146192952.0      	129677853.0      	137886715.0      	99229640.0       	121300033.0      	113663289.0      	123545372.0      	76703328.0       	357352.0         	191194.0         	9050288.0        	186199.0         	4219939.0        	3938026.0        	252292.0         	311211.0         	237893.0         	148285.0         	212929.0         	132937.0         	222465.0         	206954.0         	160703.0         	149822.0         	229757.0         	161635.0         	4199891.0        	2488875.0        	1509328.0        	1213419.0        	1560123.0        	1254529.0        	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	
zzyx	19.0	        	18.0	         	22.0	         	12.0	         	169.0	          	164.0	          	178.0	         	179.0	         	238.0	        	231.0	        	212.0	        	196.0	          	13.0	         	19.0	          	18.0	          	16.0          	148630435.0      	131747586.0      	137300553.0      	100728309.0      	122885163.0      	118138851.0      	133039814.0      	99101625.0       	360794.0         	196449.0         	9105743.0        	190254.0         	4109092.0        	4302777.0        	257017.0         	325908.0         	259675.0         	195699.0         	233217.0         	174968.0         	225545.0         	214611.0         	165721.0         	159336.0         	251986.0         	201122.0         	3741985.0        	3827523.0        	2223552.0        	1314467.0        	2147664.0        	1272441.0        	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	
zxzz	15.0	        	16.0	         	392.0	         	16.0	         	9.0		          	16.0	          	436.0	         	16.0	         	26.0	        	452.0	        	33.0	        	9.0		          	25.0	         	398.0	          	33.0	          	3.0          	148457483.0      	131586644.0      	124281152.0      	113253310.0      	114495347.0      	125724212.0      	151807927.0      	86325264.0       	289392.0         	262793.0         	4784383.0        	4207112.0        	231030.0         	8079166.0        	222764.0         	356090.0         	296964.0         	169834.0         	265366.0         	152565.0         	189189.0         	207195.0         	174066.0         	189692.0         	4615993.0        	211129.0         	4696887.0        	177533.0         	295972.0         	5171529.0        	254849.0         	156377.0         	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	0.0              	
